strategy_prompt,model,related_nonconflicts,labels,cross_refs,accuracy,accuracy_c,precision,precision_c,recall,recall_c,f1_score,f1_score_c,total,total_c,tp,tp_c,tn,tn_c,fp,fp_c,fn,fn_c
entire_sections--prompt8-entire_sections,gpt-5.2,yes,yes,no,0.664,0.651,0.543,0.401,0.78,0.878,0.618,0.523,1870.0,1465,556.0,270,668.0,668,494.0,494,152.0,33
entire_sections--prompt8-entire_sections,claude-sonnet-4-5,yes,yes,no,0.644,0.64,0.545,0.419,0.742,0.819,0.601,0.52,1696.0,1334,487.0,244,580.0,580,467.0,467,162.0,43
entire_sections_threshold_related--prompt8-entire_sections-t-0.75,gemini-3-flash-preview,yes,yes,yes,0.653,0.654,0.522,0.383,0.719,0.804,0.565,0.482,1455.0,1149,371.0,179,588.0,588,344.0,344,152.0,38
entire_sections--prompt8-entire_sections,gpt-5-mini,yes,yes,no,0.668,0.694,0.575,0.441,0.67,0.762,0.591,0.534,1829.0,1433,446.0,229,727.0,727,407.0,407,249.0,70
entire_sections_x_related--prompt3-entire_sections_related-x-2,gemini-2.5-flash,yes,not_really,no,0.69,0.754,0.563,0.474,0.668,0.859,0.567,0.584,1003.0,781,229.0,135,449.0,449,174.0,174,151.0,23
entire_sections--prompt8-entire_sections,gpt-5-nano,yes,yes,no,0.592,0.596,0.485,0.344,0.665,0.776,0.534,0.455,1769.0,1378,439.0,223,602.0,602,483.0,483,245.0,70
entire_sections--prompt3-entire_sections,gemini-2.5-flash,yes,not_really,no,0.658,0.707,0.526,0.429,0.653,0.797,0.539,0.528,1003.0,781,227.0,127,422.0,422,201.0,201,153.0,31
entire_sections_x_related--prompt3-entire_sections_related-x-4,gemini-2.5-flash,yes,not_really,no,0.672,0.731,0.544,0.449,0.653,0.779,0.544,0.538,1003.0,781,221.0,128,442.0,442,181.0,181,159.0,30
entire_sections_x_related--prompt3-entire_sections_related-x-2,gemini-2.5-pro,no,not_really,no,0.841,0.913,0.827,0.784,0.65,0.777,0.702,0.754,529.0,404,140.0,74,291.0,291,23.0,23,75.0,16
entire_sections--prompt6-entire_sections_cross_refs,gemini-2.5-flash,yes,yes,muni,0.683,0.732,0.552,0.446,0.645,0.785,0.56,0.542,1720.0,1355,392.0,219,777.0,777,314.0,314,237.0,45
entire_sections--prompt5-entire_sections_cross_refs,gemini-2.5-flash,no,yes,muni,0.826,0.909,0.788,0.722,0.644,0.792,0.674,0.73,1720.0,1355,396.0,223,1009.0,1009,82.0,82,233.0,41
entire_sections_x_related--prompt3-entire_sections_related-x-4,gemini-2.5-flash,no,not_really,no,0.819,0.909,0.833,0.786,0.643,0.772,0.67,0.734,1013.0,791,220.0,127,591.0,591,42.0,42,160.0,31
entire_sections--prompt8-entire_sections,gemini-2.5-pro,yes,yes,yes,0.686,0.724,0.568,0.454,0.642,0.756,0.56,0.529,1657.0,1310,386.0,203,733.0,733,324.0,324,214.0,50
entire_sections_x_related--prompt8-entire_sections-x-2,gemini-2.5-pro,yes,yes,yes,0.667,0.707,0.512,0.407,0.642,0.765,0.523,0.495,1373.0,1095,297.0,156,616.0,616,285.0,285,175.0,38
entire_sections--prompt5-entire_sections_cross_refs,gemini-2.5-flash,no,no,muni,0.817,0.899,0.791,0.722,0.641,0.791,0.67,0.723,1720.0,1355,390.0,218,1000.0,1000,91.0,91,239.0,46
entire_sections--prompt4-entire_sections,gemini-2.5-flash-lite,no,not_really,no,0.681,0.708,0.536,0.405,0.64,0.742,0.547,0.491,1013.0,791,246.0,118,432.0,432,201.0,201,134.0,40
entire_sections--prompt8-entire_sections,claude-haiku-4-5,yes,yes,no,0.638,0.658,0.561,0.437,0.639,0.752,0.572,0.521,1769.0,1378,462.0,229,638.0,638,447.0,447,222.0,64
entire_sections--prompt5-entire_sections_cross_refs,gemini-2.5-flash,yes,yes,muni,0.69,0.745,0.561,0.462,0.633,0.811,0.562,0.56,1720.0,1355,387.0,220,789.0,789,302.0,302,242.0,44
entire_sections--prompt8-entire_sections,gemini-2.5-flash,yes,yes,yes,0.68,0.726,0.54,0.43,0.632,0.771,0.55,0.524,1720.0,1355,395.0,216,771.0,771,320.0,320,234.0,48
